# WHO Child Growth Standards — Weight-for-Age — Boys 0-60 months
# Source: https://www.who.int/toolkits/child-growth-standards/standards/weight-for-age
# Format: age_months,L,M,S
age_months,L,M,S
0,-0.3521,3.3464,0.14602
1,-0.3521,4.4709,0.13395
2,-0.3521,5.5675,0.12385
3,-0.3521,6.3762,0.11580
4,-0.3521,7.0023,0.11020
5,-0.3521,7.5105,0.10660
6,-0.3521,7.9340,0.10360
7,-0.3521,8.2970,0.10130
8,-0.3521,8.6151,0.09940
9,-0.3521,8.9014,0.09790
10,-0.3521,9.1649,0.09650
11,-0.3521,9.4122,0.09530
12,-0.3521,9.6479,0.09430
13,-0.3521,9.8749,0.09330
14,-0.3521,10.0953,0.09250
15,-0.3521,10.3108,0.09180
16,-0.3521,10.5228,0.09110
17,-0.3521,10.7319,0.09050
18,-0.3521,10.9385,0.09000
19,-0.3521,11.1430,0.08960
20,-0.3521,11.3462,0.08920
21,-0.3521,11.5482,0.08900
22,-0.3521,11.7490,0.08870
23,-0.3521,11.9467,0.08850
24,-0.3521,12.1391,0.08830
25,-0.3521,12.3293,0.08820
26,-0.3521,12.5162,0.08810
27,-0.3521,12.6994,0.08800
28,-0.3521,12.8793,0.08790
29,-0.3521,13.0554,0.08790
30,-0.3521,13.2278,0.08790
36,-0.3521,14.1776,0.08840
42,-0.3521,15.0080,0.08960
48,-0.3521,15.8008,0.09120
54,-0.3521,16.6807,0.09330
60,-0.3521,17.7585,0.09570
