# WHO Child Growth Standards — Weight-for-Age — Girls 0-60 months
age_months,L,M,S
0,-0.3521,3.2322,0.14171
1,-0.3521,4.1873,0.13724
2,-0.3521,5.1282,0.13000
3,-0.3521,5.8458,0.12619
4,-0.3521,6.4237,0.12214
5,-0.3521,6.8985,0.11964
6,-0.3521,7.2970,0.11769
7,-0.3521,7.6422,0.11568
8,-0.3521,7.9487,0.11406
9,-0.3521,8.2249,0.11263
10,-0.3521,8.4800,0.11143
11,-0.3521,8.7192,0.11038
12,-0.3521,8.9481,0.10945
13,-0.3521,9.1699,0.10863
14,-0.3521,9.3870,0.10790
15,-0.3521,9.6008,0.10724
16,-0.3521,9.8124,0.10663
17,-0.3521,10.0226,0.10607
18,-0.3521,10.2123,0.10573
19,-0.3521,10.3994,0.10540
20,-0.3521,10.5849,0.10510
21,-0.3521,10.7689,0.10483
22,-0.3521,10.9514,0.10457
23,-0.3521,11.1326,0.10434
24,-0.3521,11.3122,0.10413
25,-0.3521,11.4904,0.10394
26,-0.3521,11.6672,0.10376
27,-0.3521,11.8424,0.10360
28,-0.3521,12.0158,0.10345
29,-0.3521,12.1876,0.10332
30,-0.3521,12.3573,0.10320
36,-0.3521,13.9300,0.10254
42,-0.3521,14.9100,0.10280
48,-0.3521,15.7639,0.10332
54,-0.3521,16.5997,0.10414
60,-0.3521,17.5245,0.10520
